"title","seq","qid","qurl","qlabel","qcountry","qdescr"
"Código Comercial","2","Q10263228","http://www.wikidata.org/entity/Q10263228","Código comercial do Brasil","",""
"Código Comercial Brasileiro","","","","","",""
"Código Criminal","0","Q10263208","http://www.wikidata.org/entity/Q10263208","Código Criminal de 1830","Q155",""
"Código Criminal","1","Q19532101","http://www.wikidata.org/entity/Q19532101","Codigo Criminal do Imperio do Brazil","",""
"Código Criminal Brasileiro","","","","","",""
"Código da Justiça Militar","","","","","",""
"Código da Propriedade Industrial","0","Q7144461","http://www.wikidata.org/entity/Q7144461","Patent Act","","legislation relating to patents"
"Código da Propriedade Industrial","1","Q10263230","http://www.wikidata.org/entity/Q10263230","Código da Propriedade Industrial","",""
"Código das Águas da República","","","","","",""
"Código das Obrigações","","","","","",""
"Código de Águas","0","Q10263244","http://www.wikidata.org/entity/Q10263244","Law-decree No. 7841, of August 8, 1945","Q155","Brazilian law-decree"
"Código de Águas","1","Q119848579","http://www.wikidata.org/entity/Q119848579","Código de aguas","Q298",""
"Código de Águas da República","","","","","",""
"Código de Águas e Minas","","","","","",""
"Código de Contabilidade","","","","","",""
"Código de Contabilidade da União","","","","","",""
"Código de Contabilidade dos Municípios","","","","","",""
"Código de Contravenções Penais","","","","","",""
"Código de Defesa do Consumidor","0","Q10263232","http://www.wikidata.org/entity/Q10263232","Código de Defesa do Consumidor","",""
"Código de Direito Canônico","0","Q188462","http://www.wikidata.org/entity/Q188462","canon law","","ordinances and regulations made by Church leadership for the government of a Christian organization or church and its members"
"Código de Direito Canônico","1","Q7341605","http://www.wikidata.org/entity/Q7341605","Canon law of the Catholic Church","","canon law of the Catholic Church"
"Código de Direito Canônico","2","Q49827","http://www.wikidata.org/entity/Q49827","1983 Code of Canon Law","","1983 codification of canonical legislation for the Latin Catholic Church"
"Código de Direito Internacional Público","","","","","",""
"Código de Direito Internacional Público e Privado","","","","","",""
"Código de Edificação","","","","","",""
"Código de Ensino","","","","","",""
"Código de Ética","0","Q2264133","http://www.wikidata.org/entity/Q2264133","ethical code","","ethical concept"
"Código de Ética","1","Q1114564","http://www.wikidata.org/entity/Q1114564","Comics Code Authority","Q30","voluntary code to self-regulate the content of comic books in the United States"
"Código de Ética","2","Q6806298","http://www.wikidata.org/entity/Q6806298","Medical Code of Ethics","",""
"Código de Ética da Radiodifusão","","","","","",""
"Código de Ética e Decoro Parlamentar","","","","","",""
"Código de Execuções Penais","","","","","",""
"Código de Fundações e Escavações do Distrito","","","","","",""
"Código de Honra Militar","","","","","",""
"Código de Impostos e Taxas","","","","","",""
"Código de Imprensa","","","","","",""
"Código de Instalações Domiciliares de Esgotos","","","","","",""
"Código de Justiça Militar","","","","","",""
"Código de Menores","0","Q123184691","http://www.wikidata.org/entity/Q123184691","Código de Menores de 1927","",""
"Código de Minas","","","","","",""
"Código de Obras","","","","","",""
"Código de Obras e Edificações","","","","","",""
"Código de Obrigações e Plano Habitacional","","","","","",""
"Código de Organização Judiciária","","","","","",""
"Código de Organização Municipal","","","","","",""
"Código de Pesca","","","","","",""
"Código de Pesca do Estado","","","","","",""
"Código de Petróleo da Bolívia","","","","","",""
"Código de Processo","0","Q5124677","http://www.wikidata.org/entity/Q5124677","Civil procedure in Brazil","Q155","law that regulates the civil procedure in Brazil"
"Código de Processo","1","Q206893","http://www.wikidata.org/entity/Q206893","Civil procedure code of Germany","","German legislation, procedural regulation"
"Código de Processo","2","Q10263249","http://www.wikidata.org/entity/Q10263249","Código de Processo Criminal de 1832","Q155",""
"Código de Processo Civil","0","Q5124677","http://www.wikidata.org/entity/Q5124677","Civil procedure in Brazil","Q155","law that regulates the civil procedure in Brazil"
"Código de Processo Civil","1","Q206893","http://www.wikidata.org/entity/Q206893","Civil procedure code of Germany","","German legislation, procedural regulation"
"Código de Processo Civil de São Paulo","","","","","",""
"Código de Processo Civil do Brasil","","","","","",""
"Código de Processo Civil e Comercial","","","","","",""
"Código de Processo de Trabalho","","","","","",""
"Código de Processo Penal","0","Q112623767","http://www.wikidata.org/entity/Q112623767","Código de Processo Penal de Portugal","",""
"Código de Processo Penal","1","Q1227122","http://www.wikidata.org/entity/Q1227122","criminal procedure code","","Wikimedia disambiguation page"
"Código de Processo Penal","2","Q3682142","http://www.wikidata.org/entity/Q3682142","Código de Processo Penal Brasileiro","","Wikimedia disambiguation page"
"Código de Processo Penal Brasileiro","0","Q3682142","http://www.wikidata.org/entity/Q3682142","Código de Processo Penal Brasileiro","","Wikimedia disambiguation page"
"Código de Processo Penal Militar","","","","","",""
"Código de Propriedade Industrial","","","","","",""
"Código de Proteção ao Meio Ambiente","","","","","",""
"Código de Proteção e Defesa do Consumidor","","","","","",""
"Código de Saúde Pública da Guanabara","","","","","",""
"Código de Telecomunicações","","","","","",""
"Código de Trabalho","","","","","",""
"Código de Trabalho da República Dominicana","","","","","",""
"Código de Trabalho dos Marítimos e Ferroviários","","","","","",""
"Código de Trânsito Brasileiro","0","Q10263241","http://www.wikidata.org/entity/Q10263241","Código de Trânsito Brasileiro","Q155",""
"Código de Trânsito Brasileiro e de Contratos","","","","","",""
"Código de Vencimentos e Vantagens","","","","","",""
"Código do Ar","","","","","",""
"Código do Idoso","","","","","",""
"Código do Mar","","","","","",""
"Código do Menor","","","","","",""
"Código do Ministério Público","","","","","",""
"Código do Processo Civil","","","","","",""
"Código do Processo Civil e Comercial","","","","","",""
"Código do Processo Civil e Comercial do Estado de São Paulo","","","","","",""
"Código do Processo Penal","","","","","",""
"Código do Trabalho","0","Q10263248","http://www.wikidata.org/entity/Q10263248","Código do Trabalho","",""
"Código dos Interventores","","","","","",""
"Código Eleitoral","0","Q10263250","http://www.wikidata.org/entity/Q10263250","Código eleitoral","",""
"Código Eleitoral","1","Q10263209","http://www.wikidata.org/entity/Q10263209","Código Eleitoral Brasileiro","Q155",""
"Código Eleitoral","2","Q25419325","http://www.wikidata.org/entity/Q25419325","Código Eleitoral de 1932","Q155",""
"Código Federal de Bem-Estar Animal","","","","","",""
"Código Federal de Processo Civil","","","","","",""
"Código Florestal","0","Q4958739","http://www.wikidata.org/entity/Q4958739","Brazilian Forest Code","Q155",""
"Código Florestal","1","Q61002511","http://www.wikidata.org/entity/Q61002511","Código Florestal brasileiro de 1934","Q155",""
"Código Florestal","2","Q10263212","http://www.wikidata.org/entity/Q10263212","Código Florestal","","Wikimedia disambiguation page"
"Código Florestal","0","Q4958739","http://www.wikidata.org/entity/Q4958739","Brazilian Forest Code","Q155",""
"Código Florestal","1","Q61002511","http://www.wikidata.org/entity/Q61002511","Código Florestal brasileiro de 1934","Q155",""
"Código Florestal","2","Q10263212","http://www.wikidata.org/entity/Q10263212","Código Florestal","","Wikimedia disambiguation page"
"Código Florestal Brasileiro","0","Q4958739","http://www.wikidata.org/entity/Q4958739","Brazilian Forest Code","Q155",""
"Código Florestal Brasileiro","1","Q61002511","http://www.wikidata.org/entity/Q61002511","Código Florestal brasileiro de 1934","Q155",""
"Código Florestal do Brasil","","","","","",""
"Código Judiciário do Estado de São Paulo","","","","","",""
"Código Judiciário do Trabalho","","","","","",""
"Código Militar Brasileiro","","","","","",""
"Código Nacional Alimentar","","","","","",""
"Código Nacional de Bebidas","","","","","",""
"Código Nacional de Telecomunicações","","","","","",""
"Código Nacional de Trânsito","0","Q10263241","http://www.wikidata.org/entity/Q10263241","Código de Trânsito Brasileiro","Q155",""
"Código Penal","0","Q19705","http://www.wikidata.org/entity/Q19705","criminal code","","document which compiles all, or a significant amount of, a particular jurisdiction's criminal law"
"Código Penal","1","Q10263218","http://www.wikidata.org/entity/Q10263218","Código Penal","Q155",""
"Código Penal","2","Q10263220","http://www.wikidata.org/entity/Q10263220","Penal code of Brazil","Q155","criminal code"
"Código Penal Brasileiro","0","Q10263220","http://www.wikidata.org/entity/Q10263220","Penal code of Brazil","Q155","criminal code"
"Código Penal Brasileiro","1","Q19534712","http://www.wikidata.org/entity/Q19534712","Código penal brasileiro - proibição da capoeira - 1890","",""
"Código Penal da Armada","","","","","",""
"Código Penal Militar","0","Q10266795","http://www.wikidata.org/entity/Q10266795","Código Penal Militar","Q155",""
"Código Penitenciário do Brasil","","","","","",""
"Código Rural","","","","","",""
