"AÇÃO","5716","https://github.com/cpdoc/dhbb/blob/master/text/5716.text","0","Q188473","http://www.wikidata.org/entity/Q188473","action film","","film genre"
"AÇÃO","5716","https://github.com/cpdoc/dhbb/blob/master/text/5716.text","1","Q4026292","http://www.wikidata.org/entity/Q4026292","action","","something an agent can do or perform"
"AÇÃO","5716","https://github.com/cpdoc/dhbb/blob/master/text/5716.text","2","Q11692","http://www.wikidata.org/entity/Q11692","share","","single unit of ownership in a corporation, mutual fund, or any other organization"
"ACORDO COMERCIAL BRASIL-ESTADOS UNIDOS (1935)","5717","https://github.com/cpdoc/dhbb/blob/master/text/5717.text","0","Q16144605","http://www.wikidata.org/entity/Q16144605","Acordo Comercial Brasil-Estados Unidos","Q30",""
"ACORDO DE FERNANDO DE NORONHA","5718","https://github.com/cpdoc/dhbb/blob/master/text/5718.text","","","","","",""
"ACORDO DE PAGAMENTOS ANGLO-BRASILEIRO (1940)","5719","https://github.com/cpdoc/dhbb/blob/master/text/5719.text","","","","","",""
"ACORDO MEC-USAID","5720","https://github.com/cpdoc/dhbb/blob/master/text/5720.text","","","","","",""
"ACORDO MILITAR BRASIL-EUA (1952)","5721","https://github.com/cpdoc/dhbb/blob/master/text/5721.text","","","","","",""
"ACORDO NUCLEAR BRASIL-ALEMANHA","5722","https://github.com/cpdoc/dhbb/blob/master/text/5722.text","0","Q16144616","http://www.wikidata.org/entity/Q16144616","Brazil-Germany Nuclear Treaty","Q155",""
"ACORDOS DO TRIGO","5723","https://github.com/cpdoc/dhbb/blob/master/text/5723.text","","","","","",""
"AFINAL","5724","https://github.com/cpdoc/dhbb/blob/master/text/5724.text","0","Q19527228","http://www.wikidata.org/entity/Q19527228","Afinal","","poem written by Álvaro de Campos"
"AFINAL","5724","https://github.com/cpdoc/dhbb/blob/master/text/5724.text","1","Q3320736","http://www.wikidata.org/entity/Q3320736","Monica Sintra","","Portuguese singer"
"AFINAL","5724","https://github.com/cpdoc/dhbb/blob/master/text/5724.text","2","Q9586904","http://www.wikidata.org/entity/Q9586904","Afinal, o que Querem as Mulheres?","","tv show aired in 2010"
"ALA MOÇA DO PSD","5725","https://github.com/cpdoc/dhbb/blob/master/text/5725.text","","","","","",""
"ALIANÇA DEMOCRÁTICA 5 DE JULHO","5726","https://github.com/cpdoc/dhbb/blob/master/text/5726.text","","","","","",""
"ALIANÇA DEMOCRÁTICA","5727","https://github.com/cpdoc/dhbb/blob/master/text/5727.text","0","Q761877","http://www.wikidata.org/entity/Q761877","Democratic Alliance","Q258","political party in South Africa formed in 2000"
"ALIANÇA DEMOCRÁTICA","5727","https://github.com/cpdoc/dhbb/blob/master/text/5727.text","1","Q2344776","http://www.wikidata.org/entity/Q2344776","Democratic Republican Alliance","Q142","defunct political party in France"
"ALIANÇA DEMOCRÁTICA","5727","https://github.com/cpdoc/dhbb/blob/master/text/5727.text","2","Q377349","http://www.wikidata.org/entity/Q377349","Democratic Alliance","Q45","political coalition in Portugal"
"ALIANÇA LIBERAL","5728","https://github.com/cpdoc/dhbb/blob/master/text/5728.text","0","Q478180","http://www.wikidata.org/entity/Q478180","Liberal Alliance","Q35","political party in Denmark"
"ALIANÇA LIBERAL","5728","https://github.com/cpdoc/dhbb/blob/master/text/5728.text","1","Q2838195","http://www.wikidata.org/entity/Q2838195","Liberal Alliance (Brazil)","Q155",""
"ALIANÇA LIBERAL","5728","https://github.com/cpdoc/dhbb/blob/master/text/5728.text","2","Q20744433","http://www.wikidata.org/entity/Q20744433","Liberal Popular Alliance – Autonomies","Q38","Italian political party"
"ALIANÇA MATO-GROSSENSE","5729","https://github.com/cpdoc/dhbb/blob/master/text/5729.text","","","","","",""
"ALIANÇA NACIONAL DE MULHERES","5730","https://github.com/cpdoc/dhbb/blob/master/text/5730.text","","","","","",""
"ALIANÇA NACIONAL LIBERTADORA (ANL)","5731","https://github.com/cpdoc/dhbb/blob/master/text/5731.text","0","Q4314903","http://www.wikidata.org/entity/Q4314903","Aliança Nacional Libertadora","Q155","Brazil"
"ALIANÇA NACIONAL LIBERTADORA (ANL)","5731","https://github.com/cpdoc/dhbb/blob/master/text/5731.text","1","Q2631813","http://www.wikidata.org/entity/Q2631813","National Liberation Action","Q155","Communist guerrilla movement during the Brazilian military dictatorship from 1967-1974."
"ALIANÇA PARA O PROGRESSO","5732","https://github.com/cpdoc/dhbb/blob/master/text/5732.text","0","Q1784516","http://www.wikidata.org/entity/Q1784516","Alliance for Progress","",""
"ALIANÇA PARA O PROGRESSO","5732","https://github.com/cpdoc/dhbb/blob/master/text/5732.text","1","Q62028298","http://www.wikidata.org/entity/Q62028298","Aliança Para o Progresso","Q155","political coalition in Guarapuava, Paraná, Brazil"
