"title","seq","qid","qurl","qlabel","qcountry","qdescr"
"PARTIDO COMUNISTA BRASILEIRO","1","Q22099149","http://www.wikidata.org/entity/Q22099149","Partido Comunista Brasileiro","","political party"
"PARTIDO COMUNISTA BRASILEIRO","2","Q9056162","http://www.wikidata.org/entity/Q9056162","Partido Comunista Brasileiro Revolucionário","Q155",""
"Partido Comunista Brasileiro Revolucionário","0","Q9056162","http://www.wikidata.org/entity/Q9056162","Partido Comunista Brasileiro Revolucionário","Q155",""
"PARTIDO COMUNISTA BRASILEIRO REVOLUCIONÁRIO","0","Q9056162","http://www.wikidata.org/entity/Q9056162","Partido Comunista Brasileiro Revolucionário","Q155",""
"Partido Comunista Chinês","0","Q17427","http://www.wikidata.org/entity/Q17427","Chinese Communist Party","Q148","founding and sole ruling party of the People's Republic of China"
"Partido Comunista da França","","","","","",""
"Partido Comunista da Romênia","","","","","",""
"Partido Comunista da União Soviética","0","Q79854","http://www.wikidata.org/entity/Q79854","Communist Party of the Soviet Union","Q34266","founding and ruling party of the Soviet Union"
"Partido Comunista do Brasil","0","Q504000","http://www.wikidata.org/entity/Q504000","Communist Party of Brazil","Q155","political party in Brazil"
"Partido Comunista do Brasil","1","Q2597196","http://www.wikidata.org/entity/Q2597196","Brazilian Communist Party","Q155","Communist political party in Brazil"
"Partido Comunista do Brasil","2","Q10345614","http://www.wikidata.org/entity/Q10345614","Partido Comunista do Brasil - Ala Vermelha","Q155",""
"PARTIDO COMUNISTA DO BRASIL","0","Q504000","http://www.wikidata.org/entity/Q504000","Communist Party of Brazil","Q155","political party in Brazil"
"PARTIDO COMUNISTA DO BRASIL","1","Q2597196","http://www.wikidata.org/entity/Q2597196","Brazilian Communist Party","Q155","Communist political party in Brazil"
"PARTIDO COMUNISTA DO BRASIL","2","Q10345614","http://www.wikidata.org/entity/Q10345614","Partido Comunista do Brasil - Ala Vermelha","Q155",""
"Partido Comunista do Uruguai","0","Q1535996","http://www.wikidata.org/entity/Q1535996","Communist Party of Uruguay","Q77","political party"
"Partido Comunista do Vietnã","0","Q427325","http://www.wikidata.org/entity/Q427325","Communist Party of Vietnam","Q881","political party in Vietnam"
"Partido Comunista Francês","0","Q192821","http://www.wikidata.org/entity/Q192821","French Communist Party","Q142","French political party"
"Partido Comunista Italiano","0","Q461886","http://www.wikidata.org/entity/Q461886","Italian Communist Party","Q38","communist political party in Italy (1921–1991)"
"Partido Comunista Italiano","1","Q25338960","http://www.wikidata.org/entity/Q25338960","Italian Communist Party","Q38","Italian political party, 2016-"
"Partido Comunista Mexicano","0","Q2054610","http://www.wikidata.org/entity/Q2054610","Mexican Communist Party","Q96","communist political party in Mexico (1917 - 1981)"
"PARTIDO COMUNISTA REVOLUCIONÁRIO","0","Q3181825","http://www.wikidata.org/entity/Q3181825","Revolutionary Communist Party","Q30","USA political party (1975-)"
"PARTIDO COMUNISTA REVOLUCIONÁRIO","1","Q5558709","http://www.wikidata.org/entity/Q5558709","Revolutionary Communist Party","Q155","Revolutionary Communist Party of Brazil"
"PARTIDO COMUNISTA REVOLUCIONÁRIO","2","Q2983913","http://www.wikidata.org/entity/Q2983913","Revolutionary Communist Party of Argentina","Q414","Maoist political party from Argentina"
"Partido Comunitário Nacional","0","Q10345613","http://www.wikidata.org/entity/Q10345613","Partido Comunitário Nacional","Q155",""
"PARTIDO COMUNITÁRIO NACIONAL","0","Q10345613","http://www.wikidata.org/entity/Q10345613","Partido Comunitário Nacional","Q155",""
"Partido Conservador","0","Q9626","http://www.wikidata.org/entity/Q9626","Conservative Party","Q145","British political party"
"Partido Conservador","1","Q3047700","http://www.wikidata.org/entity/Q3047700","Liberal-Conservative Party","Q29","1876–1931 political party in Spain"
"Partido Conservador","2","Q2016956","http://www.wikidata.org/entity/Q2016956","Conservative Party","Q155","Brazilian political party"
"Partido Conservador do Império","","","","","",""
"Partido Conservador do Pará","","","","","",""
"PARTIDO CONSTITUCIONAL DO PARÁ","","","","","",""
"Partido Constitucionalista","0","Q682969","http://www.wikidata.org/entity/Q682969","Institutional Revolutionary Party","Q96","Mexican political party"
"Partido Constitucionalista","1","Q61000589","http://www.wikidata.org/entity/Q61000589","Partido Constitucionalista de São Paulo","Q155",""
"Partido Constitucionalista","2","Q5164300","http://www.wikidata.org/entity/Q5164300","Constitutional Party","Q419","political party in Peru"
"PARTIDO CONSTITUCIONALISTA DE MATO GROSSO","","","","","",""
"PARTIDO CONSTITUCIONALISTA DE SÃO PAULO","0","Q61000589","http://www.wikidata.org/entity/Q61000589","Partido Constitucionalista de São Paulo","Q155",""
"Partido Constitucionalista do Pará","","","","","",""
"PARTIDO DA AÇÃO PROGRESSISTA","","","","","",""
"PARTIDO DA AÇÃO SOCIAL","0","Q10345698","http://www.wikidata.org/entity/Q10345698","Partido da Ação Social","Q155",""
"Partido da Causa Operária","0","Q2453216","http://www.wikidata.org/entity/Q2453216","Workers' Cause Party","Q155","political party in Brazil"
"PARTIDO DA CAUSA OPERÁRIA","0","Q2453216","http://www.wikidata.org/entity/Q2453216","Workers' Cause Party","Q155","political party in Brazil"
"PARTIDO DA DEMOCRACIA CRISTÃ DO BRASIL","0","Q65160541","http://www.wikidata.org/entity/Q65160541","Partido da Democracia Cristã do Brasil","Q155",""
"Partido da Frente Liberal","0","Q1185830","http://www.wikidata.org/entity/Q1185830","Democrats","Q155","Political party in Brazil"
"Partido da Frente Liberal","1","Q4345998","http://www.wikidata.org/entity/Q4345998","Liberal Front Party","Q155","extinct Brazilian political party"
"PARTIDO DA FRENTE LIBERAL","0","Q1185830","http://www.wikidata.org/entity/Q1185830","Democrats","Q155","Political party in Brazil"
"PARTIDO DA FRENTE LIBERAL","1","Q4345998","http://www.wikidata.org/entity/Q4345998","Liberal Front Party","Q155","extinct Brazilian political party"
"Partido da Frente Liberal da Bahia","","","","","",""
"Partido da Frente Liberal de César Maia","","","","","",""
"Partido da Frente Socialista","0","Q10345702","http://www.wikidata.org/entity/Q10345702","Partido da Frente Socialista","Q155",""
"PARTIDO DA FRENTE SOCIALISTA","0","Q10345702","http://www.wikidata.org/entity/Q10345702","Partido da Frente Socialista","Q155",""
"Partido da Lavoura","","","","","",""
"PARTIDO DA LAVOURA DE SÃO PAULO","","","","","",""
"PARTIDO DA LAVOURA DO ESPÍRITO SANTO","","","","","",""
"Partido da Libertação do Proletariado","","","","","",""
"Partido da Mobilização Democrática Brasileira","","","","","",""
"Partido da Mobilização Nacional","0","Q429972","http://www.wikidata.org/entity/Q429972","Party of National Mobilization","Q155","political party"
"Partido da Mocidade","","","","","",""
