lemma,poscode,surface
emenda constitucional nº 12/78,3,emenda constitucional nº 12/78
emenda constitucional nº 13,3,emenda constitucional nº 13
emenda constitucional nº 14,3,emenda constitucional nº 14
emenda constitucional nº 16,3,emenda constitucional nº 16
emenda constitucional nº 16/65,3,emenda constitucional nº 16/65
emenda constitucional nº 16/80),3,emenda constitucional nº 16/80)
emenda constitucional nº 17,3,emenda constitucional nº 17
emenda constitucional nº 17/91,3,emenda constitucional nº 17/91
emenda constitucional nº 175,3,emenda constitucional nº 175
emenda constitucional nº 18/65,3,emenda constitucional nº 18/65
emenda constitucional nº 18/81,3,emenda constitucional nº 18/81
emenda constitucional nº 19/81,3,emenda constitucional nº 19/81
emenda constitucional nº 2,3,emenda constitucional nº 2
emenda constitucional nº 22,3,emenda constitucional nº 22
emenda constitucional nº 23/91,3,emenda constitucional nº 23/91
emenda constitucional nº 24,3,emenda constitucional nº 24
emenda constitucional nº 25,3,emenda constitucional nº 25
emenda constitucional nº 26,3,emenda constitucional nº 26
emenda constitucional nº 26/85,3,emenda constitucional nº 26/85
emenda constitucional nº 29,3,emenda constitucional nº 29
emenda constitucional nº 3/93,3,emenda constitucional nº 3/93
emenda constitucional nº 31,3,emenda constitucional nº 31
emenda constitucional nº 36,3,emenda constitucional nº 36
emenda constitucional no 4,3,emenda constitucional no 4
emenda constitucional nº 4,3,emenda constitucional nº 4
emenda constitucional nº 41,3,emenda constitucional nº 41
emenda constitucional nº 45,3,emenda constitucional nº 45
emenda constitucional nº 5,3,emenda constitucional nº 5
emenda constitucional nº 51,3,emenda constitucional nº 51
emenda constitucional nº 6,3,emenda constitucional nº 6
emenda constitucional nº 6/76,3,emenda constitucional nº 6/76
emenda constitucional nº 67/2003,3,emenda constitucional nº 67/2003
emenda constitucional nº 7,3,emenda constitucional nº 7
emenda constitucional nº 7/77,3,emenda constitucional nº 7/77
emenda constitucional nº 8,3,emenda constitucional nº 8
emenda constitucional nº 8/77,3,emenda constitucional nº 8/77
emenda constitucional nº 9,3,emenda constitucional nº 9
emenda constitucional número 32,3,emenda constitucional número 32
emenda constitucional,3,emenda constitucional
estatuto internacional do mestre,3,estatuto internacional do mestre
estatuto nacional dos partidos políticos,3,estatuto nacional dos partidos políticos
