lemma,poscode,surface
agente de investimento,3,agente de investimento
agente de segurança judiciária,3,agente de segurança judiciária
alfaiate,3,alfaiate
analista administrativo,3,analista administrativo
analista de comércio exterior,3,analista de comércio exterior
antiquário,3,antiquário
arcebispo,3,arcebispo
armador,3,armador
armeiro,3,armeiro
arquiteto,3,arquiteto
arte-finalista,3,arte-finalista
artesão,3,artesão
artífice,3,artífice
artista,3,artista
assessor da presidência,3,assessor da presidência
assessor jurídico,3,assessor jurídico
assistente de educação,3,assistente de educação
assistente de t.i,3,assistente de t.i
assistente sociaisl,3,assistente sociaisl
assistente técnico-pedagógico,3,assistente técnico-pedagógico
ator,3,ator
atuário,3,atuário
auxiliar de limpeza,3,auxiliar de limpeza
auxiliar de necrópsia,3,auxiliar de necrópsia
babá,3,babá
bibliotecário,3,bibliotecário
biólogo,3,biólogo
bombeiro,3,bombeiro
burocrata,3,burocrata
cabeleireiro,3,cabeleireiro
caixeiro-viajante,3,caixeiro-viajante
calafate,3,calafate
camelô,3,camelô
candidato a presidência da república,3,candidato a presidência da república
carpideira,3,carpideira
carrasco,3,carrasco
carreteiro,3,carreteiro
caseiro,3,caseiro
catador de material reciclável,3,catador de material reciclável
celebrante de casamento,3,celebrante de casamento
cerimonialista,3,cerimonialista
cetologista,3,cetologista
chef,3,chef
chefe de missão econômica,3,chefe de missão econômica
chefe de operações da petrobras,3,chefe de operações da petrobras
chefe de polícia,3,chefe de polícia
chefe de polícia do distrito federal,3,chefe de polícia do distrito federal
chefe do departamento de engenharia e comunicações do exército,3,chefe do departamento de engenharia e comunicações do exército
chefe do departamento de ensino e pesquisa do exército,3,chefe do departamento de ensino e pesquisa do exército
chefe do departamento de material bélico do exército,3,chefe do departamento de material bélico do exército
chefe do departamento de produção e obras,3,chefe do departamento de produção e obras
chefe do departamento de provisão geral do exército,3,chefe do departamento de provisão geral do exército
chefe do departamento geral de administração do exército,3,chefe do departamento geral de administração do exército
chefe do departamento geral de pessoal do exército,3,chefe do departamento geral de pessoal do exército
chefe do departamento geral de serviços do exército,3,chefe do departamento geral de serviços do exército
chefe do departamento técnico e de produção,3,chefe do departamento técnico e de produção
chefe do estado-maior da aeronáutica,3,chefe do estado-maior da aeronáutica
chefe do estado-maior da armada,3,chefe do estado-maior da armada
chefe do estado-maior das forças armadas,3,chefe do estado-maior das forças armadas
chefe do estado-maior do exército,3,chefe do estado-maior do exército
chefe do executivo,3,chefe do executivo
chefe do gabinete civil da presidência da república,3,chefe do gabinete civil da presidência da república
chefe do gabinete militar da presidência da república,3,chefe do gabinete militar da presidência da república
chefe do serviço de proteção ao índio,3,chefe do serviço de proteção ao índio
chefe do serviço nacional de informações,3,chefe do serviço nacional de informações
cientista,3,cientista
cientista da informação,3,cientista da informação
cinegrafista,3,cinegrafista
cocheiro,3,cocheiro
coletor de lixo,3,coletor de lixo
colono,3,colono
comandante da escola superior de guerra,3,comandante da escola superior de guerra
comandante do corpo de fuzileiros navais,3,comandante do corpo de fuzileiros navais
comandante do iii comando aéreo regional,3,comandante do iii comando aéreo regional
comandante militar,3,comandante militar
comandante-em-chefe da esquadra,3,comandante-em-chefe da esquadra
comerciante,3,comerciante
comissário de proteção da infância e da juventude,3,comissário de proteção da infância e da juventude
concierge,3,concierge
constituinte,3,constituinte
consultor-geral da república,3,consultor-geral da república
contínuo,3,contínuo
controlador-geral da união,3,controlador-geral da união
corregedor,3,corregedor
corregedor-geral da união,3,corregedor-geral da união
corretor de seguros,3,corretor de seguros
costureiro,3,costureiro
crupiê,3,crupiê
cuteleiro,3,cuteleiro
dama de companhia,3,dama de companhia
delegado de polícia,3,delegado de polícia
dentista,3,dentista
deputado estadual,3,deputado estadual
deputado federal,3,deputado federal
deputado federal profissional,3,deputado federal profissional
deputado geral,3,deputado geral
desembargador,3,desembargador
desenhista,3,desenhista
designers,3,designers
